"Key","English, en-US","French, fr","Hindi (India), hi_IN","Romanian (Romania), ro_RO","Japanese, ja","Korean, ko","Russian (Russia), ru_RU","Spanish, es","Chinese, zh","Arabic, ar","Portuguese, pt","Italian (Italy), it_IT"
"active","Active","Actif","सक्रिय","Activ","アクティブ","활동적인","Активный","Activo","积极的","نشيط","Ativo","Attivo"
"activeBookingsOutOf","Active bookings ({count} out of {capacity})","Réservations actives ({count} sur {capacity})","सक्रिय बुकिंग ({count} में से {capacity})","Rezervări Active ({count} din {capacity})","アクティブブッキング（{count} out of {capacity}）","활성 예약 ({count}에서 {capacity})","Активные бронирования ({count} of {capacity})","Reservas activas ({count} de {capacity})","主动预订（{count}以{capacity}）","حجوزات نشطة ({count} من {capacity})","Reservas ativas ({count} fora de {capacity})","Prenotazioni attive ({count} su {capacity})"
"activities","Activities","Activités","गतिविधियाँ","Activitati","活動","활동","Деятельность","Actividades","活动","أنشطة","Atividades","Tasks"
"addFilter","Add {filter}","Ajouter {filter}","{filter} जोड़ें","Adauga {filter}","{filter}を追加","추가 {filter}","Добавить {filter}","Añadir {filter}","添加{filter}","إضافة {filter}","Adicionar {filter}","Aggiungi {filter}"
"addMediaFromUrl","Add media from URL","Ajouter des médias depuis une URL","URL से मीडिया जोड़ें","Adaugati conținut media de la URL","URLからメディアを追加します","URL에서 미디어를 추가하십시오","Добавить СМИ из URL","Agregar medios de la URL","从URL添加媒体","أضف وسائل الإعلام من عنوان URL","Adicionar mídia do URL","Aggiungi media da URL"
"addMember","Add Member","Ajouter un membre","सदस्य जोड़ें","Adauga membru","メンバーを追加します","회원 추가","Добавить участников","Añadir miembro","添加成员","إضافة عضو","Adicionar membro","Aggiungi Cliente"
"addNew","Add new","Ajouter un nouveau","नया जोड़ें","Adauga nou","新しく追加する","새로운 걸 더하다","Добавить новое","Agregar nuevo","添新","اضف جديد","Adicionar novo","Aggiungi nuovo"
"addPhotoFromUrl","Add photo from URL","Ajouter une photo depuis une URL","URL से फ़ोटो जोड़ें","Adaugati o fotografie de la URL","URLから写真を追加します","URL에서 사진을 추가하십시오","Добавить фото из URL","Agregar foto de URL","添加来自URL的照片","أضف صورة من عنوان URL","Adicionar foto do URL","Aggiungi foto da un URL"
"addressLine1","Address Line 1","Adresse ligne 1","पता लाइन १","Adresa Linia 1","住所1","주소 라인 1","Адресная строка 1","Dirección Línea 1","地址第一行","العنوان سطر 1","Endereço Linha 1","Indirizzo Linea 1"
"addressLine2","Address Line 2","Adresse ligne 2","पता लाइन २","Adresa Linia 2","住所2","주소 2","Адресная строка 2","Línea de dirección 2","地址第2行","سطر العنوان 2","endereço linha 2","Indirizzo Linea 2"
"addStandby","Add Standby","Ajouter en liste d'attente","इंतजार में जोड़ें","Adăugati pe lista de asteptare","スタンバイを追加します","대기 추가","Добавить в режиме ожидания","Agregar espera","添加备用","أضف الاستعداد","Adicione em espera","Aggiungi in lista d'attesa"
"addToCart","Add to Cart","Ajouter au panier","कार्ट में जोड़ें","Adauga in cos","カートに追加","카트에 추가하십시오","добавить в корзину","añadir a la cesta","添加到购物车","أضف إلى السلة","adicionar ao carrinho","Aggiungi al carrello"
"Admin Login","Admin Login","Connexion Admin","व्यवस्थापक लॉगिन","Logare admin","管理者ログイン","관리자 로그인","Администратор входа","Inicio de sesión de administrador","管理员登录","دخول المشرف","Login do administrador","Accesso Amministratore"
"announcements.noData","No announcements available","Aucune annonce disponible","कोई घोषणाएँ उपलब्ध नहीं हैं","Nu sunt anunțuri disponibile","発表はありません","공지 사항이 없습니다","Нет объявлений","No hay anuncios disponibles","没有可用的公告","لا إعلانات متاحة","Nenhum anúncio disponível","Nessun annuncio disponibile"
"appSettings","App Settings","Paramètres de l'application","एप्लिकेशन सेटिंग्स","Setari Aplicatie","アプリ設定","앱 설정","Настройки приложения","Ajustes de Aplicacion","应用设置","إعدادات التطبيقات","Configurações do aplicativo","Impostazioni dell'app"
